URL (For Author or Uniform title) or URI,LC #,VIAF URI,LC NAME/TITLE or VIAF AUTHOR NAME,Location,Century/Dates Active,Begin Date/Birth Year,End Date/Death Year,OLD AUTHOR NAME,LS AUTHOR NAME,PHI AUTHOR NAME,OLD AUTHOR NAME ABBREVIATION,LS AUTHOR NAME ABBREVIATION,A&G AUTHOR NAME ABBREVIATION,WORK TITLE,DATE OF WORK,OLD ABBREVIATED TITLE,LS ABBREVIATED TITLE,A&G ABBREVIATED TITLE,OLD/PHI STANDARD EDITION,WE OWN?,TLL Standard Edition,WE OWN?,LS STANDARD EDITION,WE OWN?,PHI#,STOA#,PERSEUS HAS THIS WORK,Other identifier,Related Work ID,NOTE,URL
" https://viaf.org/viaf/42229983
",none,42229983,"Agennius, Urbicus 4./5. Jh. n. Chr","Rome, Italy",400 CE - 500 CE,350 CE,450 CE,Agennius Vrbicus,Agennus Urbicus,none,AGEN.,Aggen.,none,De Controversis Agrorum,350 CE-450 CE,AGEN. agrim. p. 51 ,Aggen. ,none,Thulin T 1913 (Corpus Agrimensorum),yes-IA has scanned,Lachmann 1848,yes,"Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674",no-need to obtain,none,stoa0012a-stoa001 ,yes,,,Created a STOA identifier for this author/work,
" https://viaf.org/viaf/42229983
",none,42229983,"Agennius, Urbicus 4./5. Jh. n. Chr","Rome, Italy",400 CE - 500 CE,350 CE,450 CE,Agennius Vrbicus,Agennus Urbicus,none,AGEN.,Aggen.,none,In Julius Frontinus Commentariorum De agrorum qualitate,350 CE-450 CE,none,Aggen. ap. Comm. in Frontin.,none,Thulin T 1913 (Corpus Agrimensorum),yes-IA has scanned,Lachmann 1848,yes,"Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674",no-need to obtain,none,stoa0012a-stoa002,yes,,,digiLIbLT has this as Pseudo-Agennius,
" https://viaf.org/viaf/42229983
",none,42229983,"Agennius, Urbicus 4./5. Jh. n. Chr","Rome, Italy",400 CE - 500 CE,350 CE,450 CE,Agennius Vrbicus,Agennus Urbicus,none,AGEN.,Aggen.,none,In Julius Frontinus Commentariorum De controversiis agrorum,350 CE-450 CE,none,Aggen. ap. Comm. in Frontin.,none,Thulin T 1913 (Corpus Agrimensorum),yes-IA has scanned,Lachmann 1848,yes,"Lachmann, etc. Berlin 1848 (Die Schriften der römischen Feldmesser, Vol 1-2), Goes, Rei agrariae auctores legesque variae, 1674",no-need to obtain,none,stoa0012a-stoa003,yes,,,digiLIbLT has this as Pseudo-Agennius,
https://viaf.org/viaf/29688624,"n95-023069
",29688624,"Agnellus, of Ravenna, Abbot, active 9th century","Ravenna, Italy",900 CE,830 CE,846 CE,none,none,none,none,none,none,Liber pontificalis,830 CE-846 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0013-stoa001,no,,,,
https://viaf.org/viaf/29688624,"n95-023069
",29688624,"Agnellus, of Ravenna, Abbot, active 9th century","Ravenna, Italy",900 CE,830 CE,846 CE,none,none,none,none,none,none,Ad Armenium Epistola 'De Ratione Fidei',830 CE-846 CE,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0013-stoa002,yes,,,,
https://viaf.org/viaf/6352894,"n85-17329
            ",6352894,"Agrippa, Marcus Vipsanius","Rome, Italy",100 BCE,64 BCE,23 BCE,none,none,none,none,none,none,De Vita Sua,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0013a-stoa001,yes,,,,
https://viaf.org/viaf/87873347,n88-003773,87873347,Agrippina Minor 15-59,"Rome, Italy",100 CE,15 CE,59 CE,none,none,none,none,none,none,Fragmenta,,none,none,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0013b-stoa001,yes,,,,
https://viaf.org/viaf/263536101/,n81-88795,263536101,"Agroecius, Bishop of Sens, 5th cent.","Sens, France",500 CE,400 CE,500 CE,none,none(not in list),none,none,Agroet.,none,De Orthographia,434 CE - 450 CE,none,Agroet. / Agroet. Othogr. ,none,none,n.a.,Keil (Grammatici Latini),yes," Keil (Grammatici Latini), Putschius (Grammaticae Latinae-1605)",yes-Google has scanned,none,stoa0013c-stoa001 ,yes,,,Created a STOA identifier for this author/work,
https://viaf.org/viaf/89078643,nr95-039368,89078643,"Domitius Ahenobarbus, Cn., active 104 B.C.-89 B.C.","Rome, Italy",100 BCE,104 BCE,89 BCE,none,none,Gnaeus Domitius Ahenobarbus,none,none,none,Oratio,104 BCE-89 BCE,none,n.a.,none,none,n.a.,none,n.a.,none,n.a,301.1,none,no,,,This is one of several orations from a non public domain edition (Malcovati-also used by OLD),
https://viaf.org/viaf/29676447,n50-035344,29676447,"Alanus de Insulis, 1120-1202","Lille, France",1200 CE,1120 CE,1202 CE,none,none,none,none,none,none,De planctu naturae,1160 CE-1170 CE,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0015-stoa001,yes,,,Part of Midaeval Latin,
https://viaf.org/viaf/103253500,none,103253500,"Alberic, of Settefrati, 1101-1154? (Alberic of Monte Cassino)","Settefrati, Italy",1200 CE,1101 CE,1154 CE,none,none,none,none,none,none,De dictamine,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0016-stoa001,no,,,Added to list due to existence on STOA List,
,,,Albericus Diaconus,,,,,none,none,none,none,non,none,Sermo In Sanctam Scholaticam,,none,n.a.,none,none,n.a.,Migne 66,n.a.,none,n.a.,none,stoa0016a-stoa001,no,,,,
https://viaf.org/viaf/23509947,"n83-033529‏
  ",23509947,Albert of Saxony (Albertus de Saxonia 1316-1390),"Saxony, Germany",1400 CE,1316 CE,1390 CE,none,none,none,none,none,none,Ars Dictandi,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0017-stoa001,no,,,Added to list due to existence on STOA List,
https://viaf.org/viaf/23509947,"n83-033529‏
  ",23509947,Albert of Saxony (Albertus de Saxonia 1316-1390),"Saxony, Germany",1400 CE,1316 CE,1390 CE,none,none,none,none,none,none,"Quaestiones on the Posterior
Analytics",,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0017-stoa002,no,,,,
https://viaf.org/viaf/305392589/,none,305392589,Albinus,"Rome, Italy?",400 CE?,,,none,none,Albinus,none,none,none,Rerum Romanarum Liber I,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,2002.1,none,no,,,NO authority records anywhere for this author other than Perseus catalog it seems,
https://viaf.org/viaf/305392589/,none,305392589,Albinus,"Rome, Italy?",400 CE?,,,none,none,Albinus,none,none,none,De Metris,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,2002.2,none,no,,,NO authority records anywhere for this author other than Perseus catalog it seems,
https://viaf.org/viaf/69742024,"n86-825133
            ",69742024,"Albertano, da Brescia, active 13th century","Brescia, Italy",1300 CE,1190 CE,1250 CE,none,none,none,none,none,none,Ars loquendi et tacend,,none,na.,none,none,na.,none,n.a.,none,n.a.,none,stoa0018-stoa001,no,,,Added to list due to existence on STOA List. Also has four other works on list.,
https://viaf.org/viaf/29559625,"n79-05570
",29559625,"Alberti, Leon Battista, 1404-1472","Brescia, Italy",1500 CE,1404 CE,1472 CE,none,none,none,none,none,none,De Pictura,,none,na.,none,none,na.,none,n.a.,none,n.a.,none,stoa0019-stoa001,no,,,,
https://viaf.org/viaf/59475555/,none,59475555,"Alcimus Alethius, Latinus um 355 n. Chr","Aquitaine, France",400 CE,350 CE,360 CE,none,none,none,none,none,none,Carmina ,,none,na.,none,none,na.,none,n.a.,none,n.a.,none,stoa0019a-stoa001,yes,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE,804 CE,none,none,none,none,none,none,Cella Alcuini,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa001,no,,,"Full name: Alcuinus, Albinus Flaccus‏ ",
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,Conflictus veris et hiemi,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa002,no,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,De luscinia,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa003,no,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,Disputatio de Rhetorica,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa004,no,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,Epitaphium,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa005,no,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,Propositiones,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa006,no,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,Sequentia De Sancto Michaele,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa007,no,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,Versus de cuculo,,none,n.a.,none,none,n.a.,none,n.a.,none,n.a.,none,stoa0020-stoa008,no,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,De Orthographia,,none,n.a.,none,none,n.a.,GL,n.a.,none,n.a.,none,stoa0020-stoa009,yes,,,,
https://viaf.org/viaf/96533523/,n50-42175,96533523,"Alcuin, 735-804","York, England",800 CE,735 CE ,804 CE,none,none,none,none,none,none,Quaestiones De Trinitate Et De Genesi,,none,n.a.,none,none,n.a.,Migne 42,n.a.,none,n.a.,none,stoa0020-stoa010,no,,,,
https://viaf.org/viaf/9867251/,n84-154670,9867251,"Aldhelm, Saint, 640?-709",England,700 CE-800 CE,640 CE,709 CE,none,Aldhelmus,none,none,Aldh. \ Aldhelm.,none,De Laudibus Virginitatis,,none,Aldh. Laud. Virg. / Aldh. Laud. Virgin/ Aldh. Virg. / Aldhelm. Laud. Virg. / Aldhelm. Carm. Virg.,none,none,n.a.,,,Migne (Patrologia Latina),no-need to obtain,none,stoa0020a-stoa001,no,,,,
https://viaf.org/viaf/9867251/,n84-154670,9867251,"Aldhelm, Saint, 640?-709",England,700 CE-800 CE,640 CE,709 CE,none,Aldhelmus,none,none,Aldh. \ Aldhelm.,none,"Epistulae ad Acircium, de metris, etc.",,none,Aldh. Ep.,none,none,n.a.,,,Migne (Patrologia Latina),no-need to obtain,none,stoa0020a-stoa002,no,,,"col. 167, t. 83 Migne.--it is volume 89",https://www.perseus.tufts.edu/hopper/text.jsp?doc=Perseus:text:1999.04.0059:entry=re^fo^cilla_trix&highlight=
https://viaf.org/viaf/9867251/,n84-154670,9867251,"Aldhelm, Saint, 640?-709",England,700 CE-800 CE,640 CE,709 CE,none,Aldhelmus,none,none,Aldh. \ Aldhelm.,none,Liber de Septenario et de Metris,,none,Aldh. Septen. Col.,none,none,n.a.,,,Migne (Patrologia Latina),no-need to obtain,none,stoa0020a-stoa003,no,,,"Aldh. Septen. Col. 167 M. (M. for Migne, I would assume)",https://www.perseus.tufts.edu/hopper/text.jsp?doc=Perseus:text:1999.04.0059:entry=fo^rasti^cus&highlight=
